,Indikator,Name,Growth_timeframe,pop_dif,unemp_dif
80,Bevölkerungsdichte,Sendling,20,1500,-1.5
81,Bevölkerungsdichte,Sendling-Westpark,20,1695,-1.2
82,Bevölkerungsdichte,Schwanthalerhöhe,20,1887,-2.5
83,Bevölkerungsdichte,Neuhausen-Nymphenburg,20,1436,-1.2
84,Bevölkerungsdichte,Moosach,20,849,-0.45
85,Bevölkerungsdichte,Milbertshofen-Am Hart,20,1143,-1.3
86,Bevölkerungsdichte,Schwabing-Freimann,20,741,-0.55
87,Bevölkerungsdichte,Bogenhausen,20,922,-0.9
88,Bevölkerungsdichte,Berg am Laim,20,1485,-0.95
89,Bevölkerungsdichte,Trudering-Riem,20,1283,0.1
90,Bevölkerungsdichte,Ramersdorf-Perlach,20,977,-0.5
91,Bevölkerungsdichte,Obergiesing-Fasangarten,20,1633,-2
92,Bevölkerungsdichte,Untergiesing-Harlaching,20,940,-1.35
93,Bevölkerungsdichte,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,20,1317,-0.65
94,Bevölkerungsdichte,Hadern,20,941,-0.8
95,Bevölkerungsdichte,Pasing-Obermenzing,20,1194,-0.2
96,Bevölkerungsdichte,Aubing-Lochhausen-Langwied,20,502,-0.45
97,Bevölkerungsdichte,Allach-Untermenzing,20,590,-0.1
98,Bevölkerungsdichte,Feldmoching-Hasenbergl,20,349,-1
99,Bevölkerungsdichte,Laim,20,1560,-0.95
